artists,name,id,popularity
The Gladiators,Greatest Love,1bubxAGtnXvKrh3AqDTzmH,0
Dawn Penn,"You Don't Love Me (No, No, No) - Extended Mix",0INtJm8gCJKtNaAYQNVlpZ,61
The Congos,Fisherman,5SBq56S9xKJoH4KyBBr1Oq,48
Black Uhuru,General Penitentiary,2sRIdT17smeVbcIAIwT95r,15
Aswad,Roots Rocking,6aulMgOvHr2x9EnvjortUr,0
"Desmond Dekker, The Aces",Fu Man Chu,7t8hZZ13ePJH22jc1vJkCO,44
Black Uhuru,My Concept,2bIm0CeJvMvDoN0ont7vXY,6
Black Uhuru,Pain,4feMvvsfVSpQzVfMTQQGNB,5
Val Bennet,The Russians Are Coming,3MhMi1cegZ72DqhcTB2Ezh,30
Althea And Donna,Uptown Top Ranking - Remastered,34zWZOSpU2V1ab0PiZCcv4,58
Liam Bailey,When Will They Learn - Radio Edit,0aiCSPx8E128ivaa6akY6l,44
Sattas,Eskitilmiş,5uvcwuIjRwU4LIURlalyz2,41
Steel Pulse,Handsworth Revolution,0atZxEMb6MdCe0hCzDhvN1,0
The Heptones,Cool Rasta,6ov8WwVdJz9HLRyTaNubqk,45
Jimmy Cliff,You Can Get It If You Really Want,2QKh6t4JnWeTnzQpkNXhzW,13
King Tubby,Take Five,4gcRTIXP8nHwl0hFdJikia,40
"John Holt, Tommy McCook, The Supersonics",Ali Baba,2N2cvKMVnBYhCUwbgbKN5W,33
Black Uhuru,Abortion,0cOxeKAM3M7ugEA6c17Az2,15
The Congos,Fisherman,4jIO4fWetRQXS6Tw1XbhWD,42
New Kingston,Honorable & The Beast,55CGY7w5ina0EZS9xqp0rG,0
Marijata,I Walk Alone,6sVm6ik1mXyXlDFexORZpQ,36
The Gladiators,Streets Of Freedom,75Q8So8pFkHSSv6SyTHEzr,30
Israel Vibration,The Same Song - Edit,3qkgDUwKyHht3WmNTFHg0C,46
Gregory Isaacs,Cool Down The Pace,4cTyVda4mMbG1WGlnEAc7P,0
Ini Kamoze,World-A-Music,39EYNq2Krum7yuDbH6IojY,23
Steel Pulse,Your House,0czsQ1YOT71kdVfyFoTy3U,54
Steel Pulse,Ku Klux Klan,0NlA0b2RNynMGZoxZm8hSq,5
Capleton,Leaders Let The People Down,3gdOEPG2qwe4mGnTeaBuo9,23
Don Carlos,Movin (To The Top),1fns9GIGbJSoqMnXBmyCVK,31
Black Uhuru,Leaving to Zion,2aIjFJ5YlOyrOzIHne6k2J,0
Sister Nancy,Bam Bam,7cKLOenzViwzoHJWciMIrj,35
Eric Donaldson,Cherry Oh Baby,4iqfr68XdXVgxyXmQz8yjm,0
Gregory Isaacs,Tribute To Waddy - 1990 Digital Remaster,27FLBQfFRHnzuemlXBuQ9R,17
Gregory Isaacs,Front Door - 1990 Digital Remaster,6R230Gl7QmoZZkpTbCLNmC,32
Jacob Miller,Healing of the Nation,6OHbAg5w06kwnSF3uTwdSP,31
